Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
FERGUSON ENTERPRISES INC,0.011925407970144804,Add 19.64%,105623.0,237.3300038817303,25067507.0,,,,,
G III APPAREL GROUP LTD,0.011903945809780587,Add 6.86%,742284.0,33.709999137796316,25022393.0,,,,,
VERRA MOBILITY CORP,0.011886194356754245,Add 119.93%,5878842.0,4.250000085050764,24985079.0,,,,,
BLACK HILLS CORP,0.011876073164624338,Reduce 3.49%,335535.0,74.4,24963804.0,,,,,
STONECO LTD,0.011830785408760706,Reduce 19.08%,2294152.0,10.84000013948509,24868608.0,,,,,
STUBHUB HLDGS INC,0.011786789264489679,Buy 100%,1925107.0,12.869999953249351,24776127.0,,,,,
BP PLC,0.011705381102813805,Add 84.03%,665900.0,36.95,24605005.0,,,,,
ATMUS FILTRATION TECHNOLOGIE,0.011692847475182566,Reduce 70.26%,482029.0,50.99000060162356,24578659.0,,,,,
CRONOS GROUP INC,0.01168059405352851,Add 16.04%,8840503.0,2.777319571069655,24552902.0,,,,,
HELEN OF TROY LTD,0.011670276384202379,Reduce 6.12%,843867.0,29.070000367356467,24531214.0,,,,,
TOYOTA MOTOR CORP,0.011631016624835953,Add 92.18%,145165.0,168.41999793338616,24448689.0,,,,,
LIFE360 INC,0.011602099748576287,"Add 19,621.45%",20628241.0,1.1822580994666487,24387905.0,,,,,
SENSIENT TECHNOLOGIES CORP,0.011573344145366307,Reduce 1.48%,197319.0,123.29000248328848,24327460.0,,,,,
TRINET GROUP INC,0.01156138044432363,Add 20.37%,491055.0,49.490000101821586,24302312.0,,,,,
VERACYTE INC,0.011540139499204558,Add 880.27%,413037.0,58.72999997578909,24257663.0,,,,,
FIRSTENERGY CORP,0.011521521738734334,Add 712.99%,10279752.0,2.3559447737649704,24218528.0,,,,,
TETRA TECHNOLOGIES INC DEL,0.011516074610655017,,2136547.0,11.330000229342017,24207078.0,,,,,
BRP INC,0.011491556825517574,Add 270.46%,395863.0,61.019951346804326,24155541.0,,,,,
GLOBANT S A,0.011488987874283662,Reduce 45.16%,834490.0,28.940000479334685,24150141.0,,,,,
INTAPP INC,0.011469537583320968,Add 10.81%,956337.0,25.210000240500996,24109256.0,,,,,
AEROVIRONMENT INC,0.01137422283229884,"Add 65,693.44%",22857300.0,1.0460072712000106,23908902.0,,,,,
COMMERCE BANCSHARES INC,0.011373427408879748,Reduce 38.61%,413978.0,57.75000120779365,23907230.0,,,,,
AURINIA PHARMACEUTICALS INC,0.011370700514718122,Reduce 10.46%,1408456.0,16.969999772800854,23901498.0,,,,,
HUDSON PACIFIC PROPERTIES IN,0.011359238234897767,Reduce 5.27%,1571916.0,15.189999974553348,23877404.0,,,,,
VEEVA SYS INC,0.011357691155376898,Reduce 86.54%,134525.0,177.47000185839065,23874152.0,,,,,
AEVA TECHNOLOGIES INC,0.01134821315251889,Buy 100%,830579.0,28.720000144477527,23854229.0,,,,,
KT CORP,0.011327586852769115,Add 18.10%,1377944.0,17.279999767769954,23810872.0,,,,,
COEUR MNG INC,0.0112912295325653,Add 8.63%,1454303.0,16.320153365564124,23734448.0,,,,,
CATHAY GEN BANCORP,0.011285819987291073,Reduce 15.34%,382692.0,61.989999790954606,23723077.0,,,,,
MELCO RESORTS AND ENTMNT LTD,0.011285141593872635,Add 7.71%,4501262.0,5.270000057761579,23721651.0,,,,,
EDISON INTL,0.011262287442525007,Reduce 72.10%,317980.0,74.45,23673611.0,,,,,
CEVA INC,0.01125472758992165,Add 6.65%,501648.0,47.16000063789749,23657720.0,,,,,
CHURCHILL CAP CORP XI,0.0112313958039372,,1426898.0,16.545454545454547,23608676.0,,,,,
CVB FINL CORP,0.01121680653958712,Add 7.87%,1045588.0,22.54999961744014,23578009.0,,,,,
HALEON PLC,0.011208707207224644,"Add 1,107.90%",2525293.0,9.330000122758033,23560984.0,,,,,
INGREDION INC,0.011161543641228544,Reduce 7.78%,247723.0,94.70999866786693,23461845.0,,,,,
